Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
HRProfiler Detects Homologous Recombination Deficiency in Breast and Ovarian Cancers Using Whole-Genome and Whole-Exome Sequencing Data.,Abbasi A; Steele CD; Bergstrom EN; Khandekar A; Farswan A; McKay RR; Pillay N; Alexandrov LB,"Breast and ovarian cancers harboring homologous recombination deficiency (HRD) are sensitive to PARP inhibitors and platinum chemotherapy. Conventionally, detecting HRD involves screening for defects in BRCA1, BRCA2, and other relevant genes. Recent analyses have shown that HRD cancers exhibit characteristic mutational signatures due to the activities of HRD-associated mutational processes. At least three machine learning tools exist for detecting HRD based on mutational patterns. In this study, using sequencing data from 1,043 breast and 182 ovarian cancers, we trained Homologous Recombination Proficiency Profiler (HRProfiler), a machine learning method for detecting HRD using six mutational features. The performance of HRProfiler was assessed against prior approaches using additional independent datasets of 417 breast and 115 ovarian cancers, including retrospective data from a clinical trial involving patients treated with PARP inhibitors. Individual HRD-associated mutational signatures alone did not consistently detect HRD or predict clinical response across datasets. Notably, while all tools performed comparably for whole-genome-sequenced cancers, HRProfiler was the only approach that consistently identified HRD in whole-exome-sequenced breast and ovarian cancers, offering clinically relevant insights. Retrospective analyses provided strong evidence that HRProfiler could serve as a valuable tool for predicting HRD and clinical response in breast and ovarian cancers. This study provides the rationale for large-scale prospective clinical trials to validate the potential of HRProfiler as a routine predictive and/or prognostic HRD biomarker to guide clinical decision-making. SIGNIFICANCE: HRProfiler is a machine learning approach that reliably identifies homologous recombination deficiency in whole-exome-sequenced breast and ovarian cancers, outperforming other tools and providing clinically useful insights. This article is part of a special series: Driving Cancer Discoveries with Computational Research, Data Science, and Machine Learning/AI. See related commentary by Lim and Ju, p. 2348.",2025,Jul,Cancer Res,85,13,2504-2513,,10.1158/0008-5472.CAN-24-2639,40327608,#234,Abbasi 2025,"",""
Trajectory and uniqueness of mutational signatures in yeast mutators.,Loeillet S; Herzog M; Puddu F; Legoix P; Baulande S; Jackson SP; Nicolas AG,"The acquisition of mutations plays critical roles in adaptation, evolution, senescence, and tumorigenesis. Massive genome sequencing has allowed extraction of specific features of many mutational landscapes but it remains difficult to retrospectively determine the mechanistic origin(s), selective forces, and trajectories of transient or persistent mutations and genome rearrangements. Here, we conducted a prospective reciprocal approach to inactivate 13 single or multiple evolutionary conserved genes involved in distinct genome maintenance processes and characterize de novo mutations in 274 diploid Saccharomyces cerevisiae mutation accumulation lines. This approach revealed the diversity, complexity, and ultimate uniqueness of mutational landscapes, differently composed of base substitutions, small insertions/deletions (InDels), structural variants, and/or ploidy variations. Several landscapes parallel the repertoire of mutational signatures in human cancers while others are either novel or composites of subsignatures resulting from distinct DNA damage lesions. Notably, the increase of base substitutions in the homologous recombination-deficient Rad51 mutant, specifically dependent on the Polζ translesion polymerase, yields COSMIC signature 3 observed in BRCA1/BRCA2-mutant breast cancer tumors. Furthermore, ""mutome"" analyses in highly polymorphic diploids and single-cell bottleneck lineages revealed a diverse spectrum of loss-of-heterozygosity (LOH) signatures characterized by interstitial and terminal chromosomal events resulting from interhomolog mitotic cross-overs. Following the appearance of heterozygous mutations, the strong stimulation of LOHs in the rad27/FEN1 and tsa1/PRDX1 backgrounds leads to fixation of homozygous mutations or their loss along the lineage. Overall, these mutomes and their trajectories provide a mechanistic framework to understand the origin and dynamics of genome variations that accumulate during clonal evolution.",2020,Oct,Proc Natl Acad Sci U S A,117,40,24947-24956,,10.1073/pnas.2011332117,32968016,#235,Loeillet 2020,"",""
A comprehensive genomic framework for identifying genes predisposing to homologous recombination repair-deficient breast or ovarian cancer.,Camacho-Valenzuela J; Matis T; Roca C; Cuamatzi Flores JL; Hamel N; Rivera B; Gravel S; Polak P; Robles-Espinoza CD; Foulkes WD,"BACKGROUND: Patients with clinical characteristics of increased cancer susceptibility without an identified genetic lesion are regularly seen in clinics. Association studies and matched normal/tumour sequencing have advanced the discovery of Cancer Susceptibility Genes (CSGs), with limitations when used independently. We reasoned that combining these strategies alongside mutational signatures and clinical data could improve CSGs identification. METHODS: Using breast and ovarian cancer exome data from The Cancer Genome Atlas (TCGA-BRCA and TCGA-OV), we developed a genomic framework that evaluates exome-wide associations of Germline Pathogenic Variants (GPVs) harbouring second hits with Homologous Recombination Repair Deficiency (HRD) mutational signatures (HRDSig) to identify novel HRD-related CSGs. This is complemented by clinico-genomic analysis evaluating clinical and biological plausibility. RESULTS: Our framework confirmed significant associations with HRDSig of BRCA1/2 GPVs with second hits in both TCGA cohorts, validating its performance. THBS4 also reached significance but only co-occurred with other HRD-related events in TCGA-BRCA. Borderline significance was also observed for KIF13B and TESPA1, also only in TCGA-BRCA. The clinico-genomics approach further identified KIF13B and TESPA1, as well as RAD51B and other Fanconi Anaemia pathway-related genes, including FANCD2, warranting further validation. CONCLUSIONS: Our approach provides a framework for the identification of candidate HRD-related CSGs through combined statistical and clinico-genomics analyses. It is adaptable to other mutational signatures/cancer types and will be most effective when applied to larger and well-annotated datasets.",2026,Apr,BJC Rep,4,1,,,10.1038/s44276-026-00218-w,41951763,#236,Camacho-Valenzuela 2026,"",""
Mapping kinase domain resistance mechanisms for the MET receptor tyrosine kinase via deep mutational scanning.,Estevam GO; Linossi E; Rao J; Macdonald CB; Ravikumar A; Chrispens KM; Capra JA; Coyote-Maestas W; Pimentel H; Collisson EA; Jura N; Fraser JS,"Mutations in the kinase and juxtamembrane domains of the MET Receptor Tyrosine Kinase are responsible for oncogenesis in various cancers and can drive resistance to MET-directed treatments. Determining the most effective inhibitor for each mutational profile is a major challenge for MET-driven cancer treatment in precision medicine. Here, we used a deep mutational scan (DMS) of ~5764 MET kinase domain variants to profile the growth of each mutation against a panel of 11 inhibitors that are reported to target the MET kinase domain. We validate previously identified resistance mutations, pinpoint common resistance sites across type I, type II, and type I ½ inhibitors, unveil unique resistance and sensitizing mutations for each inhibitor, and verify non-cross-resistant sensitivities for type I and type II inhibitor pairs. We augment a protein language model with biophysical and chemical features to improve the predictive performance for inhibitor-treated datasets. Together, our study demonstrates a pooled experimental pipeline for identifying resistance mutations, provides a reference dictionary for mutations that are sensitized to specific therapies, and offers insights for future drug development.",2025,Feb,Elife,13,,,,10.7554/eLife.101882,39960754,#239,Estevam 2025,"",""
Decoding whole-genome mutational signatures in 37 human pan-cancers by denoising sparse autoencoder neural network.,Pei G; Hu R; Dai Y; Zhao Z; Jia P,"Millions of somatic mutations have recently been discovered in cancer genomes. These mutations in cancer genomes occur due to internal and external mutagenesis forces. Decoding the mutational processes by examining their unique patterns has successfully revealed many known and novel signatures from whole exome data, but many still remain undiscovered. Here, we developed a deep learning approach, DeepMS, to decompose mutational signatures using 52,671,908 somatic mutations from 2780 highly curated cancer genomes with whole genome sequencing (WGS) in 37 cancer types/subtypes. With rigorous model training and comparison, we characterized 54 signatures for single base substitutions (SBSs), 11 for doublet base substitutions (DBSs) and 16 for small insertions and deletions (Indels). Compared to the previous methods, DeepMS could discover 37 SBS, 5 DBS, and 9 Indel new signatures, many of which represent associations with DNA mismatch or base excision repair and cisplatin therapy mechanisms. We further developed a regression-based model to estimate the correlation between signatures and clinical and demographical phenotypes. The first deep learning model DeepMS on WGS somatic mutational profiles enable us identify more comprehensive context-based mutational signatures than traditional NMF approaches. Our work substantially expands the landscape of the naturally occurring mutational signatures in cancer genomes, and provides new insights into cancer biology.",2020,Jul,Oncogene,39,27,5031-5041,,10.1038/s41388-020-1343-z,32528130,#240,Pei 2020,"",""
"The promise of toxicogenomics for genetic toxicology: past, present and future.",David R,"Toxicogenomics, the application of genomics to toxicology, was described as 'a new era' for toxicology. Standard toxicity tests typically involve a number of short-term bioassays that are costly, time consuming, require large numbers of animals and generally focus on a single end point. Toxicogenomics was heralded as a way to improve the efficiency of toxicity testing by assessing gene regulation across the genome, allowing rapid classification of compounds based on characteristic expression profiles. Gene expression microarrays could measure and characterise genome-wide gene expression changes in a single study and while transcriptomic profiles that can discriminate between genotoxic and non-genotoxic carcinogens have been identified, challenges with the approach limited its application. As such, toxicogenomics did not transform the field of genetic toxicology in the way it was predicted. More recently, next generation sequencing (NGS) technologies have revolutionised genomics owing to the fact that hundreds of billions of base pairs can be sequenced simultaneously cheaper and quicker than traditional Sanger methods. In relation to genetic toxicology, and thousands of cancer genomes have been sequenced with single-base substitution mutational signatures identified, and mutation signatures have been identified following treatment of cells with known or suspected environmental carcinogens. RNAseq has been applied to detect transcriptional changes following treatment with genotoxins; modified RNAseq protocols have been developed to identify adducts in the genome and Duplex sequencing is an example of a technique that has recently been developed to accurately detect mutation. Machine learning, including MutationSeq and SomaticSeq, has also been applied to somatic mutation detection and improvements in automation and/or the application of machine learning algorithms may allow high-throughput mutation sequencing in the future. This review will discuss the initial promise of transcriptomics for genetic toxicology, and how the development of NGS technologies and new machine learning algorithms may finally realise that promise.",2020,Mar,Mutagenesis,35,2,153-159,,10.1093/mutage/geaa007,32087008,#242,David 2020,"",""
The Cancer Genome in the Long Reads Era.,Ermini L,"Cancer genomics, driven by advancements in sequencing technologies, is rapidly transforming our understanding of tumor biology. The advent of high-throughput short-read sequencing technologies has enabled a paradigm shift in cancer genomics, providing unprecedented resolution of mutations that drive tumorigenesis. Initially, short-read sequencing dominated the field, revealing the repertoire of mutational signatures and the complexities of tumor heterogeneity. However, the inherent limitations of short-read sequencing, particularly in resolving complex structural variations and repetitive regions, underscored the need for alternative approaches. This chapter delves into the transformative potential of long-read sequencing in overcoming these limitations, ushering in a new era for cancer genomics. By spanning larger genomic regions, long-reads offer a more comprehensive view of structural variations, phasing information, and complex rearrangements, crucial for deciphering the evolutionary trajectories of cancer. Furthermore, the chapter examines the dynamics of somatic evolution, comparing Darwinian and non-Darwinian frameworks, and discusses how these models inform our understanding of cancer progression which have implications for cancer therapies. Finally, a bioinformatics workflow, leveraging long-read sequencing data, is outlined to enable the identification of cancer-associated mutations. Integrating cutting-edge sequencing technologies with advanced computational approaches is essential for accelerating oncological research and improving cancer therapies. Long-read sequencing is poised to unveil the complex genomic architecture of cancers, potentially leading to more precise and effective treatments.",2025,,Methods Mol Biol,2955,,317-359,,10.1007/978-1-0716-4702-8_15,40736904,#251,Ermini 2025,"",""
Unveiling the interplay between mutational signatures and tumor microenvironment: a pan-cancer analysis.,Luo LZ; Li S; Wei C; Ma J; Qian LM; Chen YX; Wang SX; Zhao Q,"BACKGROUND: While recent studies have separately explored mutational signatures and the tumor microenvironment (TME), there is limited research on the associations of both factors in a pan-cancer context. MATERIALS AND METHODS: We performed a pan-cancer analysis of over 8,000 tumor samples from The Cancer Genome Atlas (TCGA) project. Machine learning methods were employed to systematically explore the relationship between mutational signatures and TME and develop a risk score based on TME-associated mutational signatures to predict patient survival outcomes. We also constructed an interaction model to explore how mutational signatures and TME interact and influence cancer prognosis. RESULTS: Our analysis revealed a varied association between mutational signatures and TME, with the Clock-like signature showing the most widespread influence. Risk scores based on mutational signatures mainly induced by Clock-like and AID/APOBEC activity exhibited strong pan-cancer survival stratification ability. We also propose a novel approach to predict transcriptome decomposed infiltration levels using genome-derived mutational signatures as an alternative approach for exploring TME cell types when transcriptome data are unavailable. Our comprehensive analysis revealed that certain mutational signatures and their interaction with immune cells significantly impact clinical outcomes in particular cancer types. For instance, T cell infiltration levels only served as a prognostic biomarker in melanoma patients with high ultraviolet radiation exposure, breast cancer patients with high homologous recombination deficiency signature, and lung adenocarcinoma patients with high tobacco-associated mutational signature. CONCLUSION: Our study comprehensively explains the complex interplay between mutational signatures and immune infiltration in cancer. The results highlight the importance of considering both mutational signatures and immune phenotypes in cancer research and their significant implications for developing personalized cancer treatments and more effective immunotherapy.",2023,,Front Immunol,14,,1186357,,10.3389/fimmu.2023.1186357,37283742,#253,Luo 2023,"",""
Obscurin: A multitasking giant in the fight against cancer.,Guardia T; Eason M; Kontrogianni-Konstantopoulos A,"Giant obscurins (720-870 kDa), encoded by OBSCN, were originally discovered in striated muscles as cytoskeletal proteins with scaffolding and regulatory roles. Recently though, they have risen to the spotlight as key players in cancer development and progression. Herein, we provide a timely prudent synopsis of the expanse of OBSCN mutations across 16 cancer types. Given the extensive work on OBSCN's role in breast epithelium, we summarize functional studies implicating obscurins as potent tumor suppressors in breast cancer and delve into an in silico analysis of its mutational profile and epigenetic (de)regulation using different dataset platforms and sophisticated computational tools. Lastly, we formally describe the OBSCN-Antisense-RNA-1 gene, which belongs to the long non-coding RNA family and discuss its potential role in modulating OBSCN expression in breast cancer. Collectively, we highlight the escalating involvement of obscurins in cancer biology and outline novel potential mechanisms of OBSCN (de)regulation that warrant further investigation.",2021,Aug,Biochim Biophys Acta Rev Cancer,1876,1,188567,,10.1016/j.bbcan.2021.188567,34015411,#256,Guardia 2021,"",""
Accurate and scalable variant calling from single cell DNA sequencing data with ProSolo.,Lähnemann D; Köster J; Fischer U; Borkhardt A; McHardy AC; Schönhuth A,"Accurate single cell mutational profiles can reveal genomic cell-to-cell heterogeneity. However, sequencing libraries suitable for genotyping require whole genome amplification, which introduces allelic bias and copy errors. The resulting data violates assumptions of variant callers developed for bulk sequencing. Thus, only dedicated models accounting for amplification bias and errors can provide accurate calls. We present ProSolo for calling single nucleotide variants from multiple displacement amplified (MDA) single cell DNA sequencing data. ProSolo probabilistically models a single cell jointly with a bulk sequencing sample and integrates all relevant MDA biases in a site-specific and scalable-because computationally efficient-manner. This achieves a higher accuracy in calling and genotyping single nucleotide variants in single cells in comparison to state-of-the-art tools and supports imputation of insufficiently covered genotypes, when downstream tools cannot handle missing data. Moreover, ProSolo implements the first approach to control the false discovery rate reliably and flexibly. ProSolo is implemented in an extendable framework, with code and usage at: https://github.com/prosolo/prosolo.",2021,Nov,Nat Commun,12,1,6744,,10.1038/s41467-021-26938-w,34795237,#262,Lähnemann 2021,"",""
The Association between Mutational Signatures and Clinical Outcomes among Patients with Early-Onset Breast Cancer.,Basmadjian RB; O'Sullivan DE; Quan ML; Lupichuk S; Xu Y; Cheung WY; Brenner DR,"Early-onset breast cancer (EoBC), defined by a diagnosis <40 years of age, is associated with poor prognosis. This study investigated the mutational landscape of non-metastatic EoBC and the prognostic relevance of mutational signatures using 100 tumour samples from Alberta, Canada. The MutationalPatterns package in R/Bioconductor was used to extract de novo single-base substitution (SBS) and insertion-deletion (indel) mutational signatures and to fit COSMIC SBS and indel signatures. We assessed associations between these signatures and clinical characteristics of disease, in addition to recurrence-free (RFS) and overall survival (OS). Five SBS and two indel signatures were extracted. The SBS13-like signature had higher relative contributions in the HER2-enriched subtype. Patients with higher than median contribution tended to have better RFS after adjustment for other prognostic factors (HR = 0.29; 95% CI: 0.08-1.06). An unsupervised clustering algorithm based on absolute contribution revealed three clusters of fitted COSMIC SBS signatures, but cluster membership was not associated with clinical variables or survival outcomes. The results of this exploratory study reveal various SBS and indel signatures may be associated with clinical features of disease and prognosis. Future studies with larger samples are required to better understand the mechanistic underpinnings of disease progression and treatment response in EoBC.",2024,May,Genes (Basel),15,5,,,10.3390/genes15050592,38790221,#266,Basmadjian 2024,"",""
A practical guide to cancer subclonal reconstruction from DNA sequencing.,Tarabichi M; Salcedo A; Deshwar AG; Ni Leathlobhair M; Wintersinger J; Wedge DC; Van Loo P; Morris QD; Boutros PC,"Subclonal reconstruction from bulk tumor DNA sequencing has become a pillar of cancer evolution studies, providing insight into the clonality and relative ordering of mutations and mutational processes. We provide an outline of the complex computational approaches used for subclonal reconstruction from single and multiple tumor samples. We identify the underlying assumptions and uncertainties in each step and suggest best practices for analysis and quality assessment. This guide provides a pragmatic resource for the growing user community of subclonal reconstruction methods.",2021,Feb,Nat Methods,18,2,144-155,,10.1038/s41592-020-01013-2,33398189,#268,Tarabichi 2021,"",""
Whole-exome sequencing-based mutational profiling of hepatocellular adenoma malignant transformation to hepatocellular carcinoma.,Bu Y; Huang R; Gao J; Qu W; Fu X; Liu W; Ding Z; Zhou J; Fan J; Wang X; Chen D; Tang Z,"Hepatocellular adenoma (HCA) represents a rare benign hepatic neoplasm with potential for malignant transformation into hepatocellular carcinoma (HCC), yet the underlying mechanism remains elusive. In this study, we investigated the genomic landscape of this process to identify therapeutic strategies for blocking malignant transformation. Using micro-detection techniques, we obtained specimens of adenoma, cancerous neoplasm and adjacent normal liver from three patients undergoing hepatic resection surgery. Whole-exome sequencing (WES) was performed, and genomic interactions between HCA and HCC components within the same tumour were evaluated using somatic variant calling, copy number variation (CNV) analysis, clonality evaluation and mutational signature analysis. Our results revealed genomic heterogeneity among patient cases, yet within each sample, HCA and HCC tissues exhibited a similar mutational landscape, suggesting a high degree of homology. Using nonnegative matrix factorization and phylogenetic trees, we identified shared and distinct mutational characteristics and uncovering necessary pathways associated with HCA-HCC malignant transformation. Remarkably, we found that HCA and HCC shared a common monoclonal origin while displaying significant genetic diversity within HCA-HCC tumours, indicating fundamental genetic connections or evolutionary pathways between the two. Moreover, elevated immune therapy-related markers in these patients suggested heightened sensitivity to immune therapy, providing novel avenues for the treatment of hepatic malignancies. This study sheds light on the genetic mechanisms underlying HCA-HCC progression, offering potential targets for therapeutic intervention and highlighting the promise of immune-based therapies in managing hepatic malignancies.",2024,Jul,Clin Exp Pharmacol Physiol,51,7,e13901,,10.1111/1440-1681.13901,38843867,#272,Bu 2024,"",""
In silico generation of synthetic cancer genomes using generative AI.,Díaz-Navarro A; Zhang X; Jiao W; Wang B; Stein L,"Understanding how genomic alterations drive cancer is key to advancing precision oncology. To detect these alterations, accurate algorithms are used; however, due to privacy concerns, few deeply sequenced cancer genomes can be shared, limiting benchmarking and representing a major obstacle to the improvement of analytic tools. To address this, we developed OncoGAN, a generative AI model combining adversarial networks and variational autoencoders to create realistic synthetic cancer genomes. Trained on large-scale genomic datasets, OncoGAN accurately reproduces somatic mutations, copy number alterations, and structural variants across cancer types while preserving donors' privacy. The synthetic genomes reflect tumor-specific mutational signatures and positional mutation patterns. Using DeepTumour, we validated the synthetic data's fidelity, showing high concordance between generated and predicted tumors. Moreover, augmenting the training data with synthetic genomes improved DeepTumour's accuracy, underscoring OncoGAN's potential to generate shareable datasets with known ground truths for benchmarking and enhancement of cancer genome analysis tools.",2025,Nov,Cell Genom,5,11,100969,,10.1016/j.xgen.2025.100969,40803317,#293,Díaz-Navarro 2025,"",""
From mutational signatures to practice: Artificial intelligence-guided repurposing for blast crisis chronic myeloid leukemia.,Karmakar R; Kandalkar A; Wang HC; Mukundan A,"This article of discusses blast crisis chronic myeloid leukemia (CML), which is the most aggressive CML phase marked by rapid progression, substantial mutational complexity, and resistance to standard tyrosine kinase therapies. The methodology combines whole exome sequencing and machine learning to identify the molecular subtypes of blast crisis-CML and repurpose existing Food and Drug Administration-approved drugs on the basis of the Catalogue of Somatic Mutations in Cancer mutational patterns. In a pilot cohort (n = 7), three exploratory genomic clusters were identified: Breast cancer gene 2/tumor protein p53; isocitrate dehydrogenases (IDH) 1 and IDH 2 ten eleven translocation 2; and Janus kinase (JAK) 2/colony stimulating factor 3 receptor. The results present an opportunity to evaluate poly(ADP ribose) polymerase inhibitors (breast cancer gene 2/tumor protein p53), IDH inhibitors (IDH1/2 or ten eleven translocation 2), and JAK inhibitors (JAK2 or colony stimulating factor 3 receptor) as actionable therapeutics. Moreover, this e article presents as a strategic framework for mutation-targeted therapy targeting treatment-resistant leukemias, highlighting the potential of artificial intelligence-driven molecular stratification and uncovering clinically relevant therapeutic options for malignancies. However, limitations should be acknowledged, such as the limited cohort size and the necessity for validation in larger multicenter investigations. Prospective registries and trial enrollment should test signature-defined micro-cohorts with versioned and auditable reporting. These mappings are designed to provide hypotheses and depend on independent functional validation, prioritizing safety in combination methods with tyrosine kinase inhibitors, and allows for practical implementation in rapid turnaround environments.",2026,Feb,World J Clin Oncol,17,2,115068,,10.5306/wjco.v17.i2.115068,41810353,#302,Karmakar 2026,"",""
PhySigs: Phylogenetic Inference of Mutational Signature Dynamics.,Christensen S; Leiserson MDM; El-Kebir M,"Distinct mutational processes shape the genomes of the clones comprising a tumor. These processes result in distinct mutational patterns, summarized by a small number of mutational signatures. Current analyses of clone-specific exposures to mutational signatures do not fully incorporate a tumor's evolutionary context, either inferring identical exposures for all tumor clones, or inferring exposures for each clone independently. Here, we introduce the Tree-constrained Exposure problem to infer a small number of exposure shifts along the edges of a given tumor phylogeny. Our algorithm, PhySigs, solves this problem and includes model selection to identify the number of exposure shifts that best explain the data. We validate our approach on simulated data and identify exposure shifts in lung cancer data, including at least one shift with a matching subclonal driver mutation in the mismatch repair pathway. Moreover, we show that our approach enables the prioritization of alternative phylogenies inferred from the same sequencing data. PhySigs is publicly available at https://github.com/elkebir-group/PhySigs.",2020,,Pac Symp Biocomput,25,,226-237,,,31797599,#304,Christensen 2020,"",""
Non-Coding RNAs Are Brokers in Breast Cancer Interactome Networks and Add Discrimination Power between Subtypes.,Sharma A; Capobianco E,"Despite the power of high-throughput genomics, most non-coding RNA (ncRNA) biotypes remain hard to identify, characterize, and validate. This is a clear indication that intensive next-generation sequencing research has led to great efficiency and accuracy in detecting ncRNAs, but not in their functionalization. Computational scientists continue to support the discovery process by spotting significant data features (expression or mutational profiles), elucidating phenotype uncertainty, and delineating complex regulation landscapes for biological pathways and pathophysiological processes. With reference to transcriptome regulation dynamics in cancer, this work introduces a novel network-driven inference approach designed to reveal the potential role of computationally identified ncRNAs in discriminating between breast cancer (BC) subtypes beyond the traditional gene expression signatures. As heterogeneity cast in the subtypes is a characteristic of most cancers, the proposed approach is generalizable beyond BC. Expression profiles of a wide transcriptome spectrum were obtained for a number of BC patients (and controls) listed in TCGA and processed with RNA-Seq. The well-known PAM50 subtype signature was available for the samples and used to move from differentially expressed transcript profiles to subtype-specific biclusters associating gene patterns with patients. Co-expressed gene networks were then generated and annotations were provided, focusing on the biclusters with basal and luminal signatures. These were used to build template maps, i.e., networks in which to embed the ncRNAs and contextually functionalize them based on their interactors. This inference approach is able to assess the influence of ncRNAs at the level of BC subtype. Network topology was considered through the brokerage measure to account for disruptiveness effects induced by the removal of nodes corresponding to ncRNAs. Equivalently, it is shown that ncRNAs can act as brokers of network interactome dynamics, and removing them allows the refinement of subtype-related characteristics previously obtained by gene signatures only. The results of the study elucidate the role of pseudogenes in two major BC subtypes, considering the contextual annotations. Put into a wider perspective, ncRNA brokers may help predictive functionalization studies targeted to new disease phenotypes, for instance those linked to the tumor microenvironment or metabolism, or those specifically involving metastasis. Overall, the approach may represent an in silico prioritization strategy toward the systems identification of new diagnostic and prognostic biomarkers.",2022,Apr,J Clin Med,11,8,,,10.3390/jcm11082103,35456196,#306,Sharma 2022,"",""
Rad18 mediates specific mutational signatures and shapes the genomic landscape of carcinogen-induced tumors in vivo.,Lou J; Yang Y; Gu Q; Price BA; Qiu Y; Fedoriw Y; Desai S; Mose LE; Chen B; Tateishi S; Parker JS; Vaziri C; Wu D,"The E3 ubiquitin ligase Rad18 promotes a damage-tolerant and error-prone mode of DNA replication termed trans-lesion synthesis that is pathologically activated in cancer. However, the impact of vertebrate Rad18 on cancer genomes is not known. To determine how Rad18 affects mutagenesis in vivo, we have developed and implemented a novel computational pipeline to analyze genomes of carcinogen (7, 12-Dimethylbenz[a]anthracene, DMBA)-induced skin tumors from Rad18(+/+) and Rad18(-) (/) (-) mice. We show that Rad18 mediates specific mutational signatures characterized by high levels of A(T)>T(A) single nucleotide variations (SNVs). In Rad18(-) (/-) tumors, an alternative mutation pattern arises, which is characterized by increased numbers of deletions >4 bp. Comparison with annotated human mutational signatures shows that COSMIC signature 22 predominates in Rad18(+/+) tumors whereas Rad18(-) (/) (-) tumors are characterized by increased contribution of COSMIC signature 3 (a hallmark of BRCA-mutant tumors). Analysis of The Cancer Genome Atlas shows that RAD18 expression is strongly associated with high SNV burdens, suggesting RAD18 also promotes mutagenesis in human cancers. Taken together, our results show Rad18 promotes mutagenesis in vivo, modulates DNA repair pathway choice in neoplastic cells, and mediates specific mutational signatures that are present in human tumors.",2021,Mar,NAR Cancer,3,1,zcaa037,,10.1093/narcan/zcaa037,33447826,#315,Lou 2021,"",""
J-SPACE: a Julia package for the simulation of spatial models of cancer evolution and of sequencing experiments.,Angaroni F; Guidi A; Ascolani G; d'Onofrio A; Antoniotti M; Graudenzi A,"BACKGROUND: The combined effects of biological variability and measurement-related errors on cancer sequencing data remain largely unexplored. However, the spatio-temporal simulation of multi-cellular systems provides a powerful instrument to address this issue. In particular, efficient algorithmic frameworks are needed to overcome the harsh trade-off between scalability and expressivity, so to allow one to simulate both realistic cancer evolution scenarios and the related sequencing experiments, which can then be used to benchmark downstream bioinformatics methods. RESULT: We introduce a Julia package for SPAtial Cancer Evolution (J-SPACE), which allows one to model and simulate a broad set of experimental scenarios, phenomenological rules and sequencing settings.Specifically, J-SPACE simulates the spatial dynamics of cells as a continuous-time multi-type birth-death stochastic process on a arbitrary graph, employing different rules of interaction and an optimised Gillespie algorithm. The evolutionary dynamics of genomic alterations (single-nucleotide variants and indels) is simulated either under the Infinite Sites Assumption or several different substitution models, including one based on mutational signatures. After mimicking the spatial sampling of tumour cells, J-SPACE returns the related phylogenetic model, and allows one to generate synthetic reads from several Next-Generation Sequencing (NGS) platforms, via the ART read simulator. The results are finally returned in standard FASTA, FASTQ, SAM, ALN and Newick file formats. CONCLUSION: J-SPACE is designed to efficiently simulate the heterogeneous behaviour of a large number of cancer cells and produces a rich set of outputs. Our framework is useful to investigate the emergent spatial dynamics of cancer subpopulations, as well as to assess the impact of incomplete sampling and of experiment-specific errors. Importantly, the output of J-SPACE is designed to allow the performance assessment of downstream bioinformatics pipelines processing NGS data. J-SPACE is freely available at: https://github.com/BIMIB-DISCo/J-Space.jl .",2022,Jul,BMC Bioinformatics,23,1,269,,10.1186/s12859-022-04779-8,35804300,#321,Angaroni 2022,"",""
Examining clustered somatic mutations with SigProfilerClusters.,Bergstrom EN; Kundu M; Tbeileh N; Alexandrov LB,"MOTIVATION: Clustered mutations are found in the human germline as well as in the genomes of cancer and normal somatic cells. Clustered events can be imprinted by a multitude of mutational processes, and they have been implicated in both cancer evolution and development disorders. Existing tools for identifying clustered mutations have been optimized for a particular subtype of clustered event and, in most cases, relied on a predefined inter-mutational distance (IMD) cutoff combined with a piecewise linear regression analysis. RESULTS: Here, we present SigProfilerClusters, an automated tool for detecting all types of clustered mutations by calculating a sample-dependent IMD threshold using a simulated background model that takes into account extended sequence context, transcriptional strand asymmetries and regional mutation densities. SigProfilerClusters disentangles all types of clustered events from non-clustered mutations and annotates each clustered event into an established subclass, including the widely used classes of doublet-base substitutions, multi-base substitutions, omikli and kataegis. SigProfilerClusters outputs non-clustered mutations and clustered events using standard data formats as well as provides multiple visualizations for exploring the distributions and patterns of clustered mutations across the genome. AVAILABILITY AND IMPLEMENTATION: SigProfilerClusters is supported across most operating systems and made freely available at https://github.com/AlexandrovLab/SigProfilerClusters with an extensive documentation located at https://osf.io/qpmzw/wiki/home/. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2022,Jun,Bioinformatics,38,13,3470-3473,,10.1093/bioinformatics/btac335,35595234,#331,Bergstrom 2022,"",""
